"","toCode","fromCode","rate","dis","orgGDP","amount","areaX","areaY","Province","Population","Birth_Rate","Avg_Life","GDP_PC","Unemploy_Rate","Flat_Rates","Price_Rates","City_Income","Country_income","Green_Rate","Disasters","Stu_Rate_H","Low_Income","Low_Income_Insurance"
"1",12,11,0.00203873598369011,"125",73856,4,16411,11920,"天津市",1299,8.18,78.89,72994,3.6,8744.77,103.5,51489,10367.86,32.1,0,4412,18,450
"2",13,11,0.00764525993883792,"292",73856,15,16411,190000,"河北省",7194,13.22,74.97,28668,3.9,3982.85,103.1,31451,6192.42,42.7,0,1951,88.1,265
"3",14,11,0.00152905198776758,"506",73856,3,16411,156000,"山西省",3574,10.68,74.92,26283,3.6,3432.71,103,33057,5369.56,38,4,2132,91.7,231
"4",15,11,0,"480",73856,0,16411,1183000,"内蒙古自治区",2472,9.3,74.44,47347,3.9,3782.93,103.2,35211,6010.78,33.4,3,1884,84.8,299
"5",21,11,0.00203873598369011,"684",73856,4,16411,148000,"辽宁省",4375,6.68,76.38,42355,3.6,4732.65,103,34437,7070.37,39.3,29,2671,118.6,296
"6",22,11,0.000509683995922528,"979",73856,1,16411,187000,"吉林省",2747,7.91,76.18,31599,3.8,4363.89,103.7,29003,6782.36,34.1,9,2716,115.6,228
"7",23,11,0,"1230",73856,0,16411,469000,"黑龙江省",3833,7.35,75.98,27076,4.3,3966.4,103.9,27735,6116.44,34.9,0,2447,155.6,240
"8",31,11,0.00407747196738022,"1239",73856,8,16411,6219,"上海市",2303,7.05,80.26,76074,4.4,14603.24,103.1,66115,13258.32,38.2,0,4300,32.4,450
"9",32,11,0.000509683995922528,"2373",73856,1,16411,102658,"江苏省",7869,9.73,76.63,52840,3.2,6554.41,103.8,39772,9209.84,42.1,0,2819,40.9,342
"10",33,11,0.000509683995922528,"1322",73856,1,16411,104141,"浙江省",5447,10.27,77.73,51711,3.2,9838.06,103.8,40640,11855.84,38.3,21,2285,8.8,367
"11",34,11,0.000509683995922528,"1037",73856,1,16411,139427,"安徽省",5957,12.7,75.08,20888,3.7,4776.1,103.1,33341,5650.74,37.5,12,1841,84.2,254
"12",35,11,0.000509683995922528,"1981",73856,1,16411,120000,"福建省",3693,11.27,75.76,40025,3.8,7764.29,103.2,32340,7668.83,41,113,2144,18.1,218
"13",36,11,0,"1458",73856,0,16411,166900,"江西省",4462,13.72,74.33,21253,3.3,4147.7,103,28363,6005.38,46.6,120,2162,98.1,244
"14",37,11,0,"421",73856,0,16411,157126,"山东省",9588,11.65,76.46,41106,3.4,4447.73,102.9,33321,7100.66,41.5,0,2202,60.6,286
"15",41,11,0,"695",73856,0,16411,167000,"河南省",9405,11.52,74.57,24446,3.4,3500.8,103.5,29819,5978.23,36.6,10,1839,141.9,202
"16",42,11,0,"1171",73856,0,16411,187400,"湖北省",5728,10.36,74.87,27906,4.2,4486.39,102.9,31811,6220.02,37.7,24,2906,137.2,252
"17",43,11,0,"1516",73856,0,16411,211829,"湖南省",6570,13.1,74.7,24719,4.2,3790.26,103.1,29670,5933.69,36.6,100,2051,145.1,214
"18",44,11,0.000509683995922528,"2179",73856,1,16411,184800,"广东省",10441,11.18,76.49,44736,2.5,7879.17,103.1,40432,7534.48,41.3,50,2037,40,254
"19",45,11,0,"1373",73856,0,16411,236700,"广西壮族自治区",4610,14.13,75.11,20219,3.7,3772.47,103,30673,5122.78,35,140,1530,57.3,228
"20",46,11,0,"2775",73856,0,16411,34000,"海南省",869,14.71,76.3,23831,3,8943.45,104.8,30775,5469.21,42.6,3,2036,17.1,250
"21",50,11,0,"3026",73856,0,16411,82400,"重庆市",2885,9.17,75.7,27596,3.9,4733.84,103.2,34727,5500.74,40.6,51,2413,56.9,256
"22",51,11,0,"1881",73856,0,16411,488000,"四川省",8045,8.93,74.75,21182,4.1,4917.88,103.2,32567,5479.54,37.9,197,1790,189.3,210
"23",52,11,0,"2318",73856,0,16411,170000,"贵州省",3479,13.96,71.1,13119,3.6,3888.78,102.9,30433,3577.42,29.6,123,1109,54.3,212
"24",53,11,0,"2907",73856,0,16411,394000,"云南省",4602,13.1,69.54,15752,4.2,3635.38,103.7,29195,4526.17,37.3,277,1391,93.1,206
"25",54,11,0,"3736",73856,0,16411,1220000,"西藏自治区",300,15.8,68.17,17027,4,3474.51,102.2,49898,4135.92,25.4,7,1373,4.3,306
"26",61,11,0,"1092",73856,0,16411,205800,"陕西省",3735,9.73,74.68,27133,3.9,4949.2,104,33384,4572.17,38.3,318,3208,84.6,284
"27",62,11,0,"1622",73856,0,16411,454430,"甘肃省",2560,12.05,72.23,16113,3.2,3318.24,104.1,29096,3525.35,27.1,1821,1882,88.1,189
"28",63,11,0,"1819",73856,0,16411,721000,"青海省",563,14.94,69.96,24115,3.8,3248.08,105.4,36121,3998.17,29.4,0,1119,23.5,232
"29",64,11,0,"1192",73856,0,16411,66400,"宁夏回族自治区",633,14.14,73.38,26860,4.4,3732.19,104.1,37166,5164.62,38.8,0,1868,20.8,212
"30",65,11,0,"3300",73856,0,16411,1664897,"新疆维吾尔自治区",2185,15.99,72.35,25034,3.2,3548.79,104.3,32003,5214.87,36.4,13,1467,96,183
"31",11,12,0.0223248652809854,"125",72994,29,11920,16411,"北京市",1962,7.48,80.18,73856,1.4,16851.95,102.4,65158,11802.82,44.15,0,6196,11.7,430
"32",13,12,0.0246343341031563,"308",72994,32,11920,190000,"河北省",7194,13.22,74.97,28668,3.9,3982.85,103.1,31451,6192.42,42.7,0,1951,88.1,265
"33",14,12,0.000769822940723634,"523",72994,1,11920,156000,"山西省",3574,10.68,74.92,26283,3.6,3432.71,103,33057,5369.56,38,4,2132,91.7,231
"34",15,12,0.00384911470361817,"604",72994,5,11920,1183000,"内蒙古自治区",2472,9.3,74.44,47347,3.9,3782.93,103.2,35211,6010.78,33.4,3,1884,84.8,299
"35",21,12,0.00384911470361817,"661",72994,5,11920,148000,"辽宁省",4375,6.68,76.38,42355,3.6,4732.65,103,34437,7070.37,39.3,29,2671,118.6,296
"36",22,12,0.000769822940723634,"955",72994,1,11920,187000,"吉林省",2747,7.91,76.18,31599,3.8,4363.89,103.7,29003,6782.36,34.1,9,2716,115.6,228
"37",23,12,0.000769822940723634,"1207",72994,1,11920,469000,"黑龙江省",3833,7.35,75.98,27076,4.3,3966.4,103.9,27735,6116.44,34.9,0,2447,155.6,240
"38",31,12,0.0023094688221709,"1150",72994,3,11920,6219,"上海市",2303,7.05,80.26,76074,4.4,14603.24,103.1,66115,13258.32,38.2,0,4300,32.4,450
"39",32,12,0.00384911470361817,"975",72994,5,11920,102658,"江苏省",7869,9.73,76.63,52840,3.2,6554.41,103.8,39772,9209.84,42.1,0,2819,40.9,342
"40",33,12,0,"1240",72994,0,11920,104141,"浙江省",5447,10.27,77.73,51711,3.2,9838.06,103.8,40640,11855.84,38.3,21,2285,8.8,367
"41",34,12,0,"1217",72994,0,11920,139427,"安徽省",5957,12.7,75.08,20888,3.7,4776.1,103.1,33341,5650.74,37.5,12,1841,84.2,254
"42",35,12,0,"1891",72994,0,11920,120000,"福建省",3693,11.27,75.76,40025,3.8,7764.29,103.2,32340,7668.83,41,113,2144,18.1,218
"43",36,12,0.000769822940723634,"1406",72994,1,11920,166900,"江西省",4462,13.72,74.33,21253,3.3,4147.7,103,28363,6005.38,46.6,120,2162,98.1,244
"44",37,12,0,"332",72994,0,11920,157126,"山东省",9588,11.65,76.46,41106,3.4,4447.73,102.9,33321,7100.66,41.5,0,2202,60.6,286
"45",41,12,0,"711",72994,0,11920,167000,"河南省",9405,11.52,74.57,24446,3.4,3500.8,103.5,29819,5978.23,36.6,10,1839,141.9,202
"46",42,12,0,"1187",72994,0,11920,187400,"湖北省",5728,10.36,74.87,27906,4.2,4486.39,102.9,31811,6220.02,37.7,24,2906,137.2,252
"47",43,12,0,"1576",72994,0,11920,211829,"湖南省",6570,13.1,74.7,24719,4.2,3790.26,103.1,29670,5933.69,36.6,100,2051,145.1,214
"48",44,12,0,"2197",72994,0,11920,184800,"广东省",10441,11.18,76.49,44736,2.5,7879.17,103.1,40432,7534.48,41.3,50,2037,40,254
